25750.0, {'360082': -0.125, '360086': -0.49107143, 'GS_cluster_2415878664_254486231_359566_359576': -0.084821425}, {'360082': 1, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25760.0, {'360082': 0.0, '360086': -0.16071428, 'GS_cluster_2415878664_254486231_359566_359576': -0.33035713}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25770.0, {'360082': -0.008928572, '360086': -0.04464286, 'GS_cluster_2415878664_254486231_359566_359576': -0.33035713}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25780.0, {'360082': 0.0, '360086': -0.08035714, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25790.0, {'360082': -0.0625, '360086': -0.03125, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25800.0, {'360082': 0.0, '360086': -0.16071428, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25810.0, {'360082': 0.0, '360086': -0.47767857, 'GS_cluster_2415878664_254486231_359566_359576': -0.03125}, {'360082': 0, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 11, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25820.0, {'360082': -0.058035713, '360086': -0.78125, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 2, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 2, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25830.0, {'360082': 0.0, '360086': -1.2723215, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 11, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25840.0, {'360082': -0.05357143, '360086': -1.3258928, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 3, '360086': 11, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 3, '360086': 12, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25850.0, {'360082': 0.0, '360086': -1.4776785, 'GS_cluster_2415878664_254486231_359566_359576': -0.04017857}, {'360082': 0, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25860.0, {'360082': -0.08928572, '360086': -2.017857, 'GS_cluster_2415878664_254486231_359566_359576': -0.06696428}, {'360082': 4, '360086': 13, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 5, '360086': 15, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25870.0, {'360082': -0.3125, '360086': -1.6116072, 'GS_cluster_2415878664_254486231_359566_359576': -0.20982143}, {'360082': 3, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 5, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25880.0, {'360082': 0.0, '360086': -2.0580356, 'GS_cluster_2415878664_254486231_359566_359576': -0.38839287}, {'360082': 0, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25890.0, {'360082': -0.07589286, '360086': -2.1205356, 'GS_cluster_2415878664_254486231_359566_359576': -0.56696427}, {'360082': 4, '360086': 9, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 9, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25900.0, {'360082': 0.0, '360086': -1.1607143, 'GS_cluster_2415878664_254486231_359566_359576': -0.75}, {'360082': 0, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25910.0, {'360082': -0.102678575, '360086': -1.3482143, 'GS_cluster_2415878664_254486231_359566_359576': -0.95535713}, {'360082': 4, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 6, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25920.0, {'360082': 0.0, '360086': -1.2410715, 'GS_cluster_2415878664_254486231_359566_359576': -0.09375}, {'360082': 0, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25930.0, {'360082': -0.14732143, '360086': -0.19642857, 'GS_cluster_2415878664_254486231_359566_359576': -0.16517857}, {'360082': 5, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 6, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25940.0, {'360082': -0.06696428, '360086': -0.26339287, 'GS_cluster_2415878664_254486231_359566_359576': -0.17857143}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25950.0, {'360082': -0.20089285, '360086': -0.20982143, 'GS_cluster_2415878664_254486231_359566_359576': -0.3125}, {'360082': 5, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 6, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25960.0, {'360082': -0.49107143, '360086': -0.45535713, 'GS_cluster_2415878664_254486231_359566_359576': -0.5401786}, {'360082': 5, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 8, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25970.0, {'360082': -1.0044643, '360086': -0.76785713, 'GS_cluster_2415878664_254486231_359566_359576': -0.13839285}, {'360082': 8, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 13, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25980.0, {'360082': -0.68303573, '360086': -1.1607143, 'GS_cluster_2415878664_254486231_359566_359576': -0.22767857}, {'360082': 4, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 8, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25990.0, {'360082': -0.0625, '360086': -0.30357143, 'GS_cluster_2415878664_254486231_359566_359576': -0.3169643}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
26000.0, {'360082': -0.09821428, '360086': -0.23660715, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 4, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 4, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
26010.0, {'360082': -0.2767857, '360086': -0.38392857, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 4, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
